TOTAL POI INVENTORY & CRITICAL WEIGHT ANALYSIS 2026
==========================================================================================

CITY: BIALYSTOK
Total recognized POI types: 79
------------------------------------------------------------------------------------------
POI Type                       | Tier                 | Cnt   | Weight (Final) 
sports_hall                    | T3_LOCAL_CORE        |     2 |       107624.49
clinic                         | T3_LOCAL_CORE        |     5 |        98975.55
theatre                        | T3_LOCAL_CORE        |     2 |        80892.29
swimming_pool                  | T3_LOCAL_CORE        |     8 |        77041.33
nursing_home                   | T3_LOCAL_CORE        |     1 |        59371.57
driving_school                 | T3_LOCAL_CORE        |     1 |        59371.57
cinema                         | T3_LOCAL_CORE        |     2 |        58397.72
music_school                   | T3_LOCAL_CORE        |     2 |        58397.72
language_school                | T3_LOCAL_CORE        |     3 |        57828.35
library                        | T3_LOCAL_CORE        |     4 |        57424.59
dentist                        | T3_LOCAL_CORE        |    23 |        54978.88
kindergarten                   | T3_LOCAL_CORE        |    26 |        54808.65
doctors                        | T3_LOCAL_CORE        |    37 |        54320.43
park                           | T4_DAILY_SERVICE     |    25 |        13341.59
garden                         | T4_DAILY_SERVICE     |   716 |        11181.40
place_of_worship               | T4_DAILY_SERVICE     |    39 |         8406.49
hardware                       | T4_DAILY_SERVICE     |     3 |         5782.83
pet                            | T4_DAILY_SERVICE     |     4 |         5742.46
bureau_de_change               | T4_DAILY_SERVICE     |     6 |         5685.59
electronics                    | T4_DAILY_SERVICE     |     8 |         5645.29
fuel                           | T4_DAILY_SERVICE     |    14 |         5567.04
post_office                    | T4_DAILY_SERVICE     |    15 |         5557.41
butcher                        | T4_DAILY_SERVICE     |    17 |         5539.96
shoes                          | T4_DAILY_SERVICE     |    17 |         5539.96
florist                        | T4_DAILY_SERVICE     |    18 |         5531.99
bakery                         | T4_DAILY_SERVICE     |    18 |         5531.99
furniture                      | T4_DAILY_SERVICE     |    20 |         5517.32
pharmacy                       | T4_DAILY_SERVICE     |    22 |         5504.07
bank                           | T4_DAILY_SERVICE     |    31 |         5456.49
convenience                    | T4_DAILY_SERVICE     |    64 |         5356.91
clothes                        | T4_DAILY_SERVICE     |    66 |         5352.72
community_centre               | T5_SPEC_GASTRO       |     8 |          861.20
car_wash                       | T5_SPEC_GASTRO       |    16 |          627.81
food_court                     | T5_SPEC_GASTRO       |     2 |          600.57
arts_centre                    | T5_SPEC_GASTRO       |     1 |          593.72
nightclub                      | T5_SPEC_GASTRO       |     2 |          583.98
cafe                           | T5_SPEC_GASTRO       |     5 |          571.12
bar                            | T5_SPEC_GASTRO       |     8 |          564.53
pub                            | T5_SPEC_GASTRO       |     8 |          564.53
company                        | T5_SPEC_GASTRO       |     8 |          564.53
chemist                        | T5_SPEC_GASTRO       |    12 |          558.86
beauty                         | T5_SPEC_GASTRO       |    14 |          556.70
fast_food                      | T5_SPEC_GASTRO       |    24 |          549.20
car_repair                     | T5_SPEC_GASTRO       |    34 |          544.37
hairdresser                    | T5_SPEC_GASTRO       |    44 |          540.82
restaurant                     | T5_SPEC_GASTRO       |    54 |          538.01
playground                     | T6_MICRO_INFRA       |   185 |            7.72
toilets                        | T6_MICRO_INFRA       |     8 |            6.91
newsagent                      | T6_MICRO_INFRA       |     2 |            6.68
kiosk                          | T6_MICRO_INFRA       |     6 |            5.83
vending_machine                | T6_MICRO_INFRA       |     5 |            5.71
fountain                       | T6_MICRO_INFRA       |    10 |            5.61
picnic_table                   | T6_MICRO_INFRA       |    12 |            5.59
atm                            | T6_MICRO_INFRA       |    25 |            5.49
parcel_locker                  | T6_MICRO_INFRA       |    51 |            5.39

==========================================================================================

CITY: GIZYCKO
Total recognized POI types: 67
------------------------------------------------------------------------------------------
POI Type                       | Tier                 | Cnt   | Weight (Final) 
------------------------------------------------------------------------------------------
hangar                         | T0_MEGA_HUB          |     3 |     44513314.61
aerodrome                      | T0_MEGA_HUB          |     3 |     26170109.23
ferry_terminal                 | T0_MEGA_HUB          |     6 |     25717908.02
station                        | T0_MEGA_HUB          |     8 |     25531212.92
hospital                       | T1_REGIONAL_MAGNET   |     1 |     19775270.93
stadium                        | T1_REGIONAL_MAGNET   |     1 |     16748942.43
school                         | T2_STRATEGIC_HUB     |    17 |      1427046.92
prison                         | T2_STRATEGIC_HUB     |     1 |      1305266.07
townhall                       | T2_STRATEGIC_HUB     |     1 |      1108179.54
mall                           | T2_STRATEGIC_HUB     |     5 |      1042196.33
courthouse                     | T2_STRATEGIC_HUB     |     1 |       964000.31
police                         | T2_STRATEGIC_HUB     |     2 |       922955.71
fire_station                   | T2_STRATEGIC_HUB     |     5 |       677106.97
supermarket                    | T2_STRATEGIC_HUB     |    21 |       674466.95
government                     | T2_STRATEGIC_HUB     |    16 |       670349.61
social_facility                | T2_STRATEGIC_HUB     |     1 |       537809.24
swimming_pool                  | T3_LOCAL_CORE        |     2 |        98658.49
music_school                   | T3_LOCAL_CORE        |     1 |        98025.99
clinic                         | T3_LOCAL_CORE        |     3 |        96538.95
sports_hall                    | T3_LOCAL_CORE        |    10 |        87458.23
library                        | T3_LOCAL_CORE        |     3 |        78372.27
theatre                        | T3_LOCAL_CORE        |     3 |        69814.67
dentist                        | T3_LOCAL_CORE        |     1 |        57970.43
doctors                        | T3_LOCAL_CORE        |     2 |        52871.25
water_park                     | T3_LOCAL_CORE        |     2 |        52871.25
driving_school                 | T3_LOCAL_CORE        |     2 |        52871.25
kindergarten                   | T3_LOCAL_CORE        |    12 |        50539.21
park                           | T4_DAILY_SERVICE     |    12 |        13210.98
garden                         | T4_DAILY_SERVICE     |     1 |        10147.86
electronics                    | T4_DAILY_SERVICE     |     2 |         9488.77
